Gender,Source,PriceXQuantity,age_group
Male,Instagram Campign,36,18-22
Female,Instagram Campign,73,18-22
Male,SEM,788,18-22
Male,Instagram Campign,112,18-22
Male,SEM,764,18-22
Male,FaceBook campaign,438,18-22
Male,Organic Search,212,18-22
Female,FaceBook campaign,1182,18-22
Male,Instagram Campign,882,18-22
Male,FaceBook campaign,828,18-22
Male,SEM,1167,18-22
Male,SEM,940,18-22
Male,FaceBook campaign,2430,18-22
Male,FaceBook campaign,323,18-22
Female,FaceBook campaign,728,18-22
Male,FaceBook campaign,348,18-22
Female,Instagram Campign,2185,18-22
Female,Instagram Campign,1780,18-22
Female,FaceBook campaign,1227,18-22
Female,SEM,708,18-22
Male,SEM,138,18-22
Male,FaceBook campaign,168,18-22
Male,Instagram Campign,1445,18-22
Male,SEM,264,18-22
Male,Instagram Campign,970,18-22
Male,SEM,2460,18-22
Male,Instagram Campign,36,18-22
Female,SEM,1412,18-22
Male,SEM,1110,23-27
Male,FaceBook campaign,325,23-27
Female,SEM,384,23-27
Female,Instagram Campign,106,23-27
Female,Instagram Campign,672,23-27
Female,SEM,486,23-27
Female,Instagram Campign,1284,23-27
Female,SEM,56,23-27
Male,FaceBook campaign,978,18-22
Male,Instagram Campign,274,18-22
Male,Instagram Campign,1395,18-22
Female,Instagram Campign,750,18-22
Male,FaceBook campaign,2475,18-22
Male,FaceBook campaign,1480,18-22
Female,SEM,933,18-22
Male,Instagram Campign,412,23-27
Male,Instagram Campign,49,23-27
Male,Instagram Campign,122,23-27
Male,FaceBook campaign,486,18-22
Male,Organic Search,1064,18-22
Male,Organic Search,786,18-22
Male,Instagram Campign,1203,18-22
Male,Instagram Campign,184,23-27
Male,FaceBook campaign,298,18-22
Male,Organic Search,261,18-22
Male,FaceBook campaign,939,18-22
Female,Instagram Campign,108,18-22
Female,Instagram Campign,909,18-22
Female,Instagram Campign,2060,18-22
Female,SEM,920,18-22
Male,Instagram Campign,335,18-22
Male,SEM,1460,18-22
Female,Instagram Campign,228,18-22
Male,Instagram Campign,920,18-22
Male,SEM,745,18-22
Male,Instagram Campign,349,18-22
Male,FaceBook campaign,840,23-27
Male,FaceBook campaign,444,18-22
Male,SEM,1449,18-22
Male,Instagram Campign,2120,18-22
Female,FaceBook campaign,415,18-22
Female,Instagram Campign,476,18-22
Male,Instagram Campign,70,18-22
Female,Instagram Campign,672,28-32
Female,Instagram Campign,1810,18-22
Male,FaceBook campaign,2285,18-22
Male,SEM,256,18-22
Female,Instagram Campign,534,23-27
Female,Instagram Campign,804,28-32
